rep,delta_auroc,delta_auprc,delta_logloss_plus_risk_minus_quality
1123,0.025686997889433627,0.06684902935230719,-0.028978544847678755
1124,0.0267437182450031,0.06896775415552403,-0.029194618513796122
1125,0.03061801684721044,0.06925486527047886,-0.03579858502546246
1126,0.02618567600225008,0.06882664333958732,-0.03180486547057565
1127,0.02190550550644299,0.058690409459523085,-0.02517384633076225
1128,0.03089764414550733,0.07271866853765174,-0.0365277847251016
1129,0.02685551011838838,0.0678211924623916,-0.030975655430099946
1130,0.03192219906263427,0.08076040854126199,-0.03399345809598686
1131,0.027032819873312075,0.06548584111575495,-0.029550508068319215
1132,0.029147874309088273,0.07316425893138834,-0.03373154692548064
1133,0.030515349285343163,0.06948460132155909,-0.03361800104407259
1134,0.02733359060410878,0.0717901941191087,-0.03219584770427586
1135,0.02880967576319693,0.06756510987959863,-0.03224530887786076
1136,0.03166004263227262,0.07657765420833629,-0.035144356173954394
1137,0.023941060749649634,0.05462646173052477,-0.02766409436059114
1138,0.029407085916801856,0.07635131009452611,-0.032193900738648584
1139,0.03134733974744153,0.07674210348474286,-0.03548808373432083
1140,0.028531964721849157,0.0690510448958973,-0.03344546028433759
1141,0.027013059072520273,0.07022512477836262,-0.030787503005355932
1142,0.02913108297469713,0.07050206049477659,-0.03348148907974452
1143,0.027982746139927683,0.07058719208587383,-0.03127987430413487
1144,0.027938923241409452,0.07069221138560944,-0.03039082084147443
1145,0.027692659896927707,0.07231481622078395,-0.03131258475577903
1146,0.025936616685807823,0.06632943460180207,-0.027691212566902934
1147,0.03427028151408773,0.07784317411191344,-0.0371292698455305
1148,0.02419116086660067,0.06608572869323737,-0.027814425116704566
1149,0.031038236248698503,0.07575697942890902,-0.03696433795046694
1150,0.024917433668017797,0.0635456224570693,-0.028671681192107945
1151,0.026443061602045237,0.07055351447144087,-0.02847796392848756
1152,0.032660569360952074,0.07845959816282477,-0.035160008098035433
1153,0.02637150169080893,0.065403962446276,-0.030872723498603316
