target_family,comparison,metric,bootstrap_mean_delta,ci95_low,ci95_high,inference
DeepLabV3-R50,FINAL_vs_COND,OracleR90FPR,-0.00337178122178069,-0.01538500251635637,0.01062418167129419,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_COND,AUROC,-0.0003263793656057477,-0.003317944691494312,0.0023260874645536825,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_COND,AUPRC,-0.0007524645441482927,-0.0036280196481998845,0.0018558177901836772,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_COND,Recall,1.2995914918821406e-05,-0.004540505059550457,0.004094345122425077,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_COND,FPR,-0.0028702150482475394,-0.009873358068816564,0.0041251077207876425,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_COND,PPV1pct,0.0002914659404399997,-0.00038327185062391855,0.0009911488704618405,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_COND,OracleR90FPR,-0.003757709646510106,-0.01709828732015565,0.009509832198345293,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_COND,AUROC,0.001762688251053027,0.00018321658254616958,0.0031621861794909802,A_BETTER
SegFormer-B0,FINAL_vs_COND,AUPRC,0.0021503196076070913,2.1735805546445352e-05,0.004118852019166465,A_BETTER
SegFormer-B0,FINAL_vs_COND,Recall,0.001680827734261135,-0.0010899554293320069,0.004578229164856708,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_COND,FPR,-0.0020237935714513453,-0.006082406471182985,0.0018868735006159622,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_COND,PPV1pct,7.145794077935691e-05,-2.5238314169957754e-05,0.0001705948595865683,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_COND,OracleR90FPR,-0.0049317630225425785,-0.014021938499954428,0.004985552075884837,NO_95CI_DIFFERENCE
