rep,safetta_pooled_auroc,ccd_pooled_auroc,delta_safetta_minus_ccd_pooled_auroc,safetta_pooled_auprc,ccd_pooled_auprc,delta_safetta_minus_ccd_pooled_auprc,safetta_macro2_auroc,ccd_macro2_auroc,delta_safetta_minus_ccd_macro2_auroc,safetta_macro2_auprc,ccd_macro2_auprc,delta_safetta_minus_ccd_macro2_auprc
664,0.6684105051020158,0.6497730693982025,0.018637435703813376,0.6132397827230155,0.5111028385073838,0.10213694421563169,0.6700062901470354,0.6552012281355515,0.014805062011483905,0.6173644614180216,0.5188301012242288,0.0985343601937928
665,0.6620243005330642,0.6491926027490561,0.012831697784008056,0.6200280688142707,0.5463112476894461,0.0737168211248247,0.664173959490453,0.6536261315833711,0.010547827907081864,0.6235354386348999,0.553306156985043,0.07022928164985687
666,0.676306873786083,0.6276032639532971,0.04870360983278588,0.6117087829891517,0.48585799713286293,0.12585078585628873,0.679504830562611,0.6315276997211341,0.04797713084147692,0.6145214392738174,0.490752033921603,0.12376940535221442
667,0.6546266962988653,0.6418955714486505,0.01273112485021477,0.5945000009035838,0.5014037075263302,0.09309629337725356,0.6559329482866868,0.6473020500027624,0.008630898283924382,0.5982383269832912,0.5085423521648034,0.08969597481848779
668,0.6665237551802574,0.6257223148350108,0.040801440345246576,0.6079656594697694,0.4984354336486756,0.10953022582109384,0.6706456653495545,0.6304664508912377,0.04017921445831685,0.612307416873817,0.5057294664765148,0.10657795039730211
669,0.6852427911767347,0.6515674455360531,0.03367534564068164,0.6419170882140744,0.5196081333037951,0.12230895491027938,0.6874304996618067,0.6566793907873116,0.03075110887449506,0.6438248565495024,0.5261768666170139,0.11764798993248848
670,0.6662841102788855,0.6420056877033474,0.024278422575538028,0.6231794656366364,0.5261023320064089,0.09707713363022752,0.668423157396373,0.6475504025775853,0.020872754818787698,0.6264514076062524,0.5346036093346174,0.09184779827163503
671,0.6690256189711061,0.6403491306557542,0.028676488315351967,0.6207270640369595,0.5142515038866862,0.10647556015027337,0.6733671153759178,0.6464504972537413,0.026916618122176494,0.6263037046904204,0.5215853939827835,0.10471831070763693
672,0.6720061797549427,0.6409562378246793,0.031049941930263447,0.612290572788996,0.5116919030646175,0.10059866972437848,0.6732961320772177,0.6452956297236293,0.02800050235358842,0.6151942373360212,0.5186288741246075,0.09656536321141374
673,0.697112753685951,0.6427622487746304,0.05435050491132065,0.6256769483699762,0.4934647421864009,0.13221220618357532,0.7012814493993189,0.6473090945713316,0.053972354827987346,0.6305827350870181,0.5000643529737163,0.1305183821133018
674,0.6639124326879715,0.6473920936139927,0.016520339073978763,0.6003290809595954,0.5069741101446934,0.09335497081490196,0.6642856581440091,0.652031498429448,0.01225415971456112,0.6016644560902454,0.5145853199461238,0.08707913614412166
675,0.6789644117636598,0.646706514622385,0.032257897141274805,0.6336674859614346,0.5182715624104491,0.11539592355098549,0.6813328695498557,0.6513996348135138,0.029933234736341907,0.6364474152013867,0.5236970881930075,0.11275032700837917
676,0.6526510582585843,0.6765490841157713,-0.023898025857187033,0.6107279389440116,0.5484775548807794,0.062250384063232134,0.6539872335680352,0.6821166761775612,-0.02812944260952599,0.614296357512981,0.5558342174582985,0.05846214005468242
677,0.6672229248322368,0.6540164821536624,0.013206442678574404,0.612585354653564,0.5298618214585475,0.08272353319501646,0.6705740189625196,0.6622749269569236,0.008299092005595976,0.6157750400396875,0.5404233106842903,0.07535172935539725
678,0.6682612575942344,0.6341124821832255,0.034148775411008914,0.6237899568443056,0.5258852775869292,0.09790467925737645,0.6703743410434337,0.6372570360498007,0.03311730499363308,0.6279914454444522,0.5319299228440293,0.09606152260042289
679,0.6543143550094258,0.6365665307996543,0.0177478242097715,0.6037675689333705,0.5104900342473345,0.09327753468603595,0.6551023253148975,0.6426892853901588,0.012413039924738745,0.6076140684978528,0.5192544883322598,0.08835958016559298
680,0.6674031896189215,0.6537754636127755,0.013627726006146035,0.5988796989600962,0.5077891293253944,0.09109056963470175,0.6691130085113938,0.6577555347581878,0.011357473753205949,0.6043132794039657,0.5138871251075461,0.09042615429641965
681,0.6749502535915385,0.6639080731648865,0.011042180426651949,0.6278296584037149,0.5375485670311103,0.09028109137260454,0.6775730529438233,0.6692662691659085,0.008306783777914828,0.6323600814690472,0.5455708745686267,0.08678920690042047
682,0.6651864031677108,0.6447878158301554,0.020398587337555396,0.6201607943083128,0.5278603036484417,0.09230049065987112,0.6686402617694313,0.6492655570019206,0.019374704767510686,0.6256958805544511,0.5339695958629505,0.09172628469150068
683,0.6587837697065275,0.6568075713459693,0.001976198360558179,0.6012517755191507,0.5194876914332145,0.08176408408593616,0.6606377304933069,0.660350508206952,0.00028722228635491565,0.6035420718070195,0.52624958329199,0.07729248851502946
684,0.6669078366594328,0.6456862028610633,0.0212216337983695,0.5844538051002373,0.49731045385570327,0.08714335124453398,0.6674017089271238,0.6502207047959342,0.017181004131189614,0.5871874652241139,0.504677718909556,0.08250974631455787
685,0.6564269726256465,0.6483305373667406,0.00809643525890591,0.600146311249162,0.520194361164983,0.07995195008417899,0.6575781920196189,0.6526615448112014,0.004916647208417446,0.6039192774284945,0.5279337700813193,0.07598550734717524
686,0.6876059699802871,0.668970799916387,0.01863517006390014,0.6314291613780697,0.5281843903840242,0.1032447709940455,0.6903120145529382,0.6726680515928964,0.01764396296004178,0.6334098841091256,0.5325857545250607,0.10082412958406484
687,0.6604947958090799,0.6648830459692834,-0.0043882501602034996,0.6066138744269454,0.5333422418479857,0.07327163257895963,0.6627164809133805,0.6701835588686388,-0.00746707795525825,0.6101157508911568,0.5392455742654014,0.07087017662575534
688,0.666917457360092,0.6458340562049321,0.021083401155159942,0.6036570547131938,0.515657811108297,0.08799924360489675,0.6708849560608541,0.6507770964069598,0.020107859653894278,0.6085218606847443,0.5218594374639813,0.08666242322076301
689,0.6815099855536467,0.6718235592690927,0.009686426284554073,0.6417250621439807,0.5480294678657728,0.09369559427820795,0.6828890897002089,0.6769832435326497,0.005905846167559181,0.6444014529130341,0.5548622396423595,0.0895392132706746
690,0.6658160329221474,0.6311556384804454,0.03466039444170199,0.5964790795689487,0.4929847031984197,0.10349437637052905,0.6683601523016296,0.6354318079904415,0.032928344311188074,0.6006605544334125,0.49835845523940203,0.10230209919401045
691,0.6600483698681938,0.6443752607080342,0.015673109160159626,0.6024038023719843,0.526655132565754,0.0757486698062303,0.6630561749515823,0.6489990076073823,0.014057167344200039,0.6076810307660944,0.5334248380574986,0.07425619270859574
692,0.6832851404914385,0.6445924144429099,0.03869272604852858,0.6202398581815565,0.4957969032398841,0.12444295494167235,0.6856922082507477,0.6473431249324224,0.03834908331832532,0.6225863027956862,0.4992842384084824,0.12330206438720376
693,0.6804501430997839,0.6403850782541923,0.04006506484559158,0.6232679637073641,0.5125703792957262,0.1106975844116379,0.6845993283919174,0.6451406214579232,0.039458706933994225,0.6270158502064918,0.5194967194443298,0.10751913076216191
694,0.6528336308356839,0.6450031957128041,0.007830435122879842,0.5910698467331799,0.5083990144637429,0.08267083226943694,0.6538825082613079,0.6465157145637188,0.00736679369758908,0.5938450471897816,0.5132440941892082,0.08060095300057335
695,0.6601963765374068,0.6311814432607652,0.02901493327664162,0.6109536060695973,0.5090236586471937,0.10192994742240358,0.6630644855893864,0.6360265462862529,0.027037939303133474,0.6157631085890645,0.5149372273361039,0.10082588125296055
696,0.6672136884446109,0.6321127341797229,0.03510095426488802,0.6195997981968021,0.5156261313142694,0.10397366688253273,0.670950036727886,0.6388563807531866,0.032093655974699375,0.6236082991080536,0.5244507282836256,0.099157570824428
697,0.6675193188793637,0.6414274907686865,0.026091828110677118,0.5907572471458453,0.4933619166532851,0.09739533049256022,0.6680528100886138,0.6465751097855461,0.021477700303067726,0.594224265974798,0.5008718369382402,0.09335242903655783
698,0.6732152929664522,0.6380681781029303,0.035147114863521955,0.6131424214323118,0.49557873413915116,0.11756368729316063,0.674176678100871,0.6434125917080029,0.030764086392868095,0.6150543404373598,0.5034068619174654,0.11164747851989443
699,0.6766166247024551,0.6705484646745635,0.006068160027891567,0.6270558796700861,0.5363796733495603,0.09067620632052587,0.6782074679579819,0.6749306359331744,0.003276832024807552,0.6297029076962255,0.5425305993947576,0.08717230830146794
700,0.664466305619316,0.6538482776511483,0.010618027968167687,0.6097367617056614,0.5235756688310735,0.08616109287458784,0.6669557402252169,0.6599772540110896,0.006978486214127222,0.6151086826201599,0.5307335375232,0.08437514509695998
701,0.654304121771481,0.6461360897177114,0.008168032053769592,0.6010273696119631,0.5208360532682865,0.0801913163436766,0.6553626765309734,0.6501633347482224,0.005199341782750944,0.6037762497028675,0.5269102995845695,0.076865950118298
702,0.6752645954956887,0.639075388816105,0.036189206679583696,0.6383608810145399,0.5175819577953369,0.12077892321920303,0.6799540228154112,0.6432912134690352,0.036662809346376,0.6428966320057838,0.523679323475152,0.11921730853063184
703,0.6717334494773519,0.6362496187191309,0.035483830758221035,0.6118797477448252,0.5018526236647531,0.11002712408007209,0.6739897884869286,0.64206054398917,0.03192924449775858,0.614505358581003,0.5086075171792679,0.10589784140173508
704,0.6714162783046502,0.6536220422376562,0.01779423606699404,0.6133485509117131,0.5298800657157454,0.08346848519596772,0.6748839126702588,0.6591470939964075,0.01573681867385135,0.616516715629188,0.5363466003940288,0.08017011523515916
705,0.6782286860695244,0.6325297508490766,0.04569893522044777,0.6259743789187924,0.5057285970169723,0.12024578190182011,0.6805873345560103,0.6358681421522834,0.044719192403726904,0.6294750311642265,0.5104200164358678,0.11905501472835878
706,0.671637200498989,0.6507841187719237,0.020853081727065348,0.6096630618335792,0.513302202450183,0.09636085938339622,0.6737954730688431,0.6560018315114509,0.01779364155739227,0.6127522539431072,0.5199594514742703,0.09279280246883692
707,0.6684387127168263,0.6411971975164386,0.027241515200387756,0.5985245078378618,0.5057778732775262,0.0927466345603356,0.6689006809569752,0.6456998298257887,0.02320085113118653,0.6008096418676756,0.5130050855866126,0.08780455628106298
708,0.6651007819986937,0.6225581526447075,0.04254262935398623,0.5945454946551676,0.4799441854405384,0.11460130921462919,0.6662601431372097,0.6257569310090871,0.04050321212812258,0.5965942127491514,0.485870921535715,0.11072329121343638
709,0.6677376761169119,0.6487252185911119,0.019012457525800053,0.606173399780861,0.5087879509813019,0.09738544879955913,0.6700960056885572,0.653728566271063,0.01636743941749419,0.6117511132725464,0.517343166694077,0.0944079465784694
710,0.6749362179332641,0.637213462376718,0.03772275555654603,0.629902419536458,0.517482883374607,0.11241953616185096,0.6765377467504503,0.6410224289142594,0.035515317836190885,0.633313078266579,0.52359183135876,0.10972124690781904
711,0.6799140004329982,0.6328352971215031,0.04707870331149511,0.6138012364649792,0.49774442069457625,0.11605681577040294,0.6832422155554728,0.6385127789106011,0.04472943664487172,0.6187035154226287,0.5067322092611268,0.11197130616150186
712,0.6623311450679739,0.6496703045657417,0.012660840502232151,0.628482490457275,0.5473447976781248,0.08113769277915017,0.6649740456514383,0.6547232785856534,0.010250767065784872,0.6323963310262275,0.5556676874343274,0.07672864359190013
713,0.6642072136375422,0.6584193583202074,0.0057878553173348335,0.6033798002695564,0.5251847042006854,0.07819509606887098,0.6668664188903218,0.6630468264784118,0.003819592411909989,0.6076683813982708,0.5313155511291128,0.07635283026915807
714,0.6818645799558699,0.6497572737109517,0.0321073062449182,0.6214420013662635,0.5057624299266341,0.11567957143962937,0.6849381384821132,0.6542433895400488,0.030694748942064365,0.6268757778504574,0.5119183835161395,0.11495739433431795
715,0.6779236990177877,0.6325312423274958,0.045392456690291905,0.6156666756320315,0.5012178096437158,0.11444886598831572,0.6808919291225787,0.6391785073246468,0.041713421797931916,0.6209901305834953,0.5087201625223866,0.11226996806110867
716,0.6752999447905986,0.6419119925740321,0.03338795221656654,0.6323449119583121,0.5207879819151495,0.11155693004316258,0.6789824781970766,0.6459868612686687,0.03299561692840791,0.6374314205226426,0.5277385921078244,0.1096928284148182
717,0.6757252349542475,0.6422216637468114,0.03350357120743608,0.6253114036533812,0.5238750647999,0.10143633885348124,0.6788219546189954,0.6465607157120523,0.0322612389069431,0.6306331058253194,0.529902029700708,0.10073107612461141
718,0.6582510022684571,0.6495597009532547,0.00869130131520246,0.6014558801836002,0.5124343099230373,0.0890215702605629,0.6585978346839417,0.6540441892185427,0.004553645465399048,0.6035546571824932,0.5185199254986119,0.08503473168388131
719,0.6532241112340333,0.6288549788954165,0.024369132338616817,0.5900822990724585,0.48389838463815515,0.1061839144343033,0.6561029819310582,0.6358162592825033,0.02028672264855491,0.595221848770359,0.4927787157054543,0.10244313306490471
720,0.6586339719963401,0.6482686662631261,0.010365305733214036,0.5879142293231483,0.508078539944513,0.07983568937863528,0.6589028248048491,0.6517343798180053,0.007168444986843769,0.5908879227139923,0.5137549091494784,0.07713301356451385
721,0.6563330150842974,0.6390106732557701,0.01732234182852732,0.5841880104576394,0.509267821276905,0.0749201891807344,0.657612151678776,0.6430418334375804,0.01457031824119559,0.587384127218412,0.5149647491329068,0.07241937808550525
722,0.6903409028616319,0.6343134012659514,0.056027501595680484,0.6364820587770142,0.5048575169665694,0.1316245418104448,0.6942172485180391,0.6407677117982911,0.05344953671974806,0.6396945693005317,0.5128112291937797,0.12688334010675195
723,0.6674241261092475,0.6378811671829874,0.029542958926260132,0.6136384292533028,0.5175235445245149,0.09611488472878793,0.6701119279233156,0.6431450791389154,0.026966848784400255,0.6173988491381672,0.524294390357324,0.09310445878084328
724,0.6902214209511229,0.6686409896413322,0.021580431309790704,0.6296922999472729,0.534922252909104,0.09477004703816894,0.6940651049687541,0.6749176072704098,0.01914749769834423,0.635233500934383,0.5428197934697622,0.09241370746462085
725,0.6688576139263999,0.6480598811047321,0.020797732821667747,0.6142927588176545,0.5181653027702655,0.09612745604738904,0.6711957153428825,0.6540882538241306,0.017107461518751865,0.6179822137215799,0.5251440963438452,0.09283811737773473
726,0.6760275215475772,0.6499544198102839,0.02607310173729327,0.6266174958123972,0.5105883587748377,0.11602913703755957,0.6776052406473314,0.6542801879000851,0.023325052747246278,0.6302349616178748,0.5178207335876988,0.11241422803017609
727,0.683660947636303,0.6612200216731474,0.02244092596315561,0.6309662057713055,0.5170134701622529,0.11395273560905261,0.68574075775081,0.6664701324054083,0.019270625345401693,0.6337468965645364,0.5250290137830441,0.1087178827814923
728,0.6669844869766561,0.631918217548647,0.03506626942800917,0.6130906638180234,0.49858576418985207,0.11450489962817129,0.6688742301986674,0.6369372812862464,0.03193694891242105,0.6175117406502527,0.5052009282875578,0.11231081236269491
729,0.679709976192478,0.6418366033850164,0.037873372807461614,0.6300097329878555,0.5047066063606414,0.1253031266272141,0.6820298805361273,0.646841077254726,0.03518880328140139,0.6332104880241307,0.5113416345342658,0.12186885348986487
730,0.6953471307774628,0.6476124280352717,0.04773470274219105,0.6414286278097113,0.5133196896939589,0.1281089381157524,0.6982289848730855,0.6507536970074979,0.047475287865587634,0.6451897501914104,0.5186642972787309,0.12652545291267958
731,0.682164222228069,0.6376424542027096,0.044521768025359454,0.6265575789057979,0.502446045846248,0.12411153305954992,0.684953043010844,0.6411768468611488,0.04377619614969519,0.6291127413346713,0.5075900539840459,0.12152268735062544
732,0.6514570200699694,0.6428927064492858,0.008564313620683661,0.6051658846509564,0.5188433724372254,0.086322512213731,0.6528280399296358,0.6485397931614958,0.004288246768139992,0.6092652924447017,0.5276198094134134,0.08164548303128838
733,0.6843522704905075,0.6554678792867452,0.028884391203762294,0.6062705974334206,0.5063591458100878,0.09991145162333281,0.6861018252875093,0.6605753658261962,0.025526459461313045,0.6097054576041274,0.5140409946058568,0.09566446299827058
734,0.6662805546890531,0.6525694461359796,0.013711108553073559,0.6057124512324594,0.5132516707924559,0.0924607804400035,0.6688658669929282,0.6586240655049487,0.010241801487979485,0.6105694513091566,0.5199527747202339,0.0906166765889227
735,0.6565036505988582,0.6384071982156103,0.018096452383247863,0.5819234198407223,0.4954067901333395,0.08651662970738278,0.6591170595461056,0.6439017385780497,0.01521532096805589,0.5869527023693096,0.5021322189033788,0.08482048346593085
736,0.6715267118043426,0.6499442877584533,0.021582424045889392,0.6310804835754927,0.514919886382471,0.11616059719302174,0.6734691707532877,0.6549729592540183,0.018496211499269388,0.634661388782723,0.5223970851759943,0.11226430360672879
737,0.6470527365041557,0.6265514283902658,0.02050130811388995,0.5900310379267442,0.5022841193267158,0.08774691860002837,0.6484343627723177,0.6313989936662247,0.017035369106093046,0.5956290482881728,0.5102109553005028,0.08541809298767
