setting,policy,requested_coverage,metric,bootstrap_valid,bootstrap_mean_delta,ci95_low,ci95_high
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,mean_delta_vs_source,2000,0.019767401247853016,0.012727384828810247,0.027313353659237302
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,mean_delta_vs_adapt_all,2000,0.019767401247853016,0.012727384828810268,0.027313353659237278
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,harm_rate_among_adapted,2000,-0.08955351473922903,-0.11451530612244899,-0.06439625850340137
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,benefit_rate_among_adapted,2000,0.004713435374149659,-0.019506802721088453,0.0294897959183673
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,prevented_harm_fraction,2000,0.19961213276509404,0.13632373647547055,0.26349778750812847
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,withheld_benefit_fraction,2000,-0.007271502772512124,-0.048110223612369864,0.036304092738040916
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_deployed_dice,2000,0.022173438019915816,0.014968506201314022,0.030235563446296455
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_delta_vs_source,2000,0.022173438019915816,0.014968506201314022,0.03023556344629651
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_delta_vs_adapt_all,2000,0.022173438019915816,0.014968506201314022,0.030235563446296455
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,harm_rate_among_adapted,2000,-0.11128092403628118,-0.1395734126984127,-0.08140164399092972
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,benefit_rate_among_adapted,2000,0.027486281179138324,-0.0030640589569160825,0.05878684807256235
